PROGRAMA,SEMESTRE,NOMBRE MODULO
TECNOLOGIA EN DESARROLLO DE SOFTWARE,5,DESARROLLO DE APLICACIONES II
TECNOLOGIA EN DESARROLLO DE SOFTWARE,4,ESTRUCTURAS DE DATOS
TECNOLOGIA EN DESARROLLO DE SOFTWARE,6,FORMACION CIUDADANA
TECNOLOGIA EN DESARROLLO DE SOFTWARE,1,FORMACION DEL SER
TECNOLOGIA EN DESARROLLO DE SOFTWARE,1,FUNDAMENTOS DE PROGRAMACION
TECNOLOGIA EN DESARROLLO DE SOFTWARE,2,FUNDAMENTOS FISICOS DE LA INFORMATICA
TECNOLOGIA EN DESARROLLO DE SOFTWARE,5,GESTION DE PROYECTOS INFORMATICOS
TECNOLOGIA EN DESARROLLO DE SOFTWARE,5,HERRAMIENTAS VISUALES DE PROGRAMACION
TECNOLOGIA EN DESARROLLO DE SOFTWARE,2,INGENIERIA DEL SOFTWARE
TECNOLOGIA EN DESARROLLO DE SOFTWARE,2,INGLES I
TECNOLOGIA EN DESARROLLO DE SOFTWARE,4,INGLES II
TECNOLOGIA EN DESARROLLO DE SOFTWARE,5,INGLES III
TECNOLOGIA EN DESARROLLO DE SOFTWARE,3,INGLES IV
TECNOLOGIA EN DESARROLLO DE SOFTWARE,1,INTRODUCCION A LA TECNOLOGIA
TECNOLOGIA EN DESARROLLO DE SOFTWARE,2,INTRODUCCION AL DISENO DE INTERFAZ DE USUARIO
TECNOLOGIA EN DESARROLLO DE SOFTWARE,1,INTRODUCCION AL DISENO GRAFICO
TECNOLOGIA EN DESARROLLO DE SOFTWARE,2,MATEMATICAS DISCRETAS
TECNOLOGIA EN DESARROLLO DE SOFTWARE,1,MATEMATICAS GENERALES
TECNOLOGIA EN DESARROLLO DE SOFTWARE,4,METODOLOGIA DE LA INVESTIGACION
TECNOLOGIA EN DESARROLLO DE SOFTWARE,3,METODOLOGIA ORIENTADA A OBJETOS
TECNOLOGIA EN DESARROLLO DE SOFTWARE,2,PROGRAMACION ORIENTADA A OBJETOS I
TECNOLOGIA EN DESARROLLO DE SOFTWARE,3,PROGRAMACION ORIENTADA A OBJETOS II
TECNOLOGIA EN DESARROLLO DE SOFTWARE,6,PROYECTO DE GRADO
TECNOLOGIA EN DESARROLLO DE SOFTWARE,5,REDES DE COMPUTADORES I
TECNOLOGIA EN DESARROLLO DE SOFTWARE,6,REDES DE COMPUTADORES II
TECNOLOGIA EN DESARROLLO DE SOFTWARE,5,SEMINARIO DE PROGRAMACION I
TECNOLOGIA EN DESARROLLO DE SOFTWARE,6,SEMINARIO DE PROGRAMACION II
TECNOLOGIA EN DESARROLLO DE SOFTWARE,6,SEMINARIO DE PROGRAMACION III
TECNOLOGIA EN DESARROLLO DE SOFTWARE,1,SEMINARIO OPTATIVO I
TECNOLOGIA EN DESARROLLO DE SOFTWARE,2,SEMINARIO OPTATIVO II
TECNOLOGIA EN DESARROLLO DE SOFTWARE,4,SISTEMAS OPERATIVOS
TECNOLOGIA EN DESARROLLO DE SOFTWARE,1,TECNICAS DE COMUNICACION
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,4,ANALISIS FINANCIERO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,2,CALCULO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,5,COMERCIO EXTERIOR
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,3,COMPORTAMIENTO DEL CONSUMIDOR
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,3,CONTABILIDAD
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,4,COSTOS Y PRESUPUESTOS
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,4,ELECTIVA
