MUNICIPIOS,RURAL,,,,,,,,,,,,,,,,,,,,,,,
GAMEZA,1,,,,,,,,,,,,,,,,,,,,,,,
GARAGOA,0,,,,,,,,,,,,,,,,,,,,,,,
GARZON,0,,,,,,,,,,,,,,,,,,,,,,,
GENOVA,1,,,,,,,,,,,,,,,,,,,,,,,
GIGANTE,0,,,,,,,,,,,,,,,,,,,,,,,
GINEBRA,0,,,,,,,,,,,,,,,,,,,,,,,
GIRALDO,1,,,,,,,,,,,,,,,,,,,,,,,
GIRARDOT,0,,,,,,,,,,,,,,,,,,,,,,,
GIRARDOTA,0,,,,,,,,,,,,,,,,,,,,,,,
GIRON,0,,,,,,,,,,,,,,,,,,,,,,,
GOMEZ PLATA,1,,,,,,,,,,,,,,,,,,,,,,,
GONZALEZ,1,,,,,,,,,,,,,,,,,,,,,,,
GRAMALOTE,1,,,,,,,,,,,,,,,,,,,,,,,
GRANADA,0,,,,,,,,,,,,,,,,,,,,,,,
GRANADA,0,,,,,,,,,,,,,,,,,,,,,,,
GRANADA,0,,,,,,,,,,,,,,,,,,,,,,,
GUACA,1,,,,,,,,,,,,,,,,,,,,,,,
GUACAMAYAS,1,,,,,,,,,,,,,,,,,,,,,,,
GUACARI,0,,,,,,,,,,,,,,,,,,,,,,,
GUACHETA,0,,,,,,,,,,,,,,,,,,,,,,,
GUACHUCAL,1,,,,,,,,,,,,,,,,,,,,,,,
GUADALUPE,1,,,,,,,,,,,,,,,,,,,,,,,
GUADALUPE,1,,,,,,,,,,,,,,,,,,,,,,,
GUADALUPE,1,,,,,,,,,,,,,,,,,,,,,,,
GUADUAS,1,,,,,,,,,,,,,,,,,,,,,,,
GUAITARILLA,0,,,,,,,,,,,,,,,,,,,,,,,
GUALMATAN,0,,,,,,,,,,,,,,,,,,,,,,,
GUAMAL,1,,,,,,,,,,,,,,,,,,,,,,,
GUAMAL,1,,,,,,,,,,,,,,,,,,,,,,,
GUAMO,0,,,,,,,,,,,,,,,,,,,,,,,
GUAPI,1,,,,,,,,,,,,,,,,,,,,,,,
GUAPOTA,1,,,,,,,,,,,,,,,,,,,,,,,
GUARANDA,1,,,,,,,,,,,,,,,,,,,,,,,
GUARNE,0,,,,,,,,,,,,,,,,,,,,,,,
GUASCA,1,,,,,,,,,,,,,,,,,,,,,,,
GUATAPE,0,,,,,,,,,,,,,,,,,,,,,,,
GUATAQUI,1,,,,,,,,,,,,,,,,,,,,,,,
GUATAVITA,1,,,,,,,,,,,,,,,,,,,,,,,
GUATEQUE,0,,,,,,,,,,,,,,,,,,,,,,,
GUATICA,0,,,,,,,,,,,,,,,,,,,,,,,
GUAVATA,1,,,,,,,,,,,,,,,,,,,,,,,
GUAYABAL DE SIQUIMA,1,,,,,,,,,,,,,,,,,,,,,,,
GUAYABETAL,1,,,,,,,,,,,,,,,,,,,,,,,
GUAYATA,1,,,,,,,,,,,,,,,,,,,,,,,
GUEPSA,0,,,,,,,,,,,,,,,,,,,,,,,
GUICAN,0,,,,,,,,,,,,,,,,,,,,,,,
GUTIERREZ,1,,,,,,,,,,,,,,,,,,,,,,,
HACARI,1,,,,,,,,,,,,,,,,,,,,,,,
